date,ZCTA,PO_NAME,county,county_fips,tsa,msa,state,total_pop,adult_pop,adult_pop_65plus,senior_frac,under16_pop,doses_administered,one_dose,fully_vaccinated,coverage_one_dose_16plus,coverage_one_dose_total_pop,hosp_deaths_total,hosp_deaths_total_per_100k,admits_last_14days,admits_last_14days_per_100k,phase_1a_total,phase_1b_total,phase_1c_total,phase_2_total,median_household_income,SVI,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
2021-06-16,78701,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,10848,10676,1175,0.11005994754589735,172,15135,8841,7076,0.8280415847148075,0.8149138169416537,9,82.9646017699115,1,9.218289085545722,955,3336,1576,4979,122182,0.24705,0.301675,0.02455,0.149625,0.787125
2021-06-16,78702,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,23671,20111,2373,0.1179951270449008,3560,28859,16279,13687,0.8094172633253779,0.6876900980060832,26,109.83904355540534,4,16.898314393139284,1783,7744,2221,11920,65689,0.55207,0.49591,0.28609,0.5237700000000001,0.80996
2021-06-16,78703,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,20407,16785,2463,0.14673815907059876,3622,29650,16807,14435,1.0012510425354462,0.8235495883967072,5,24.50139657960504,0,0,1477,5762,2639,10527,108548,0.0658125,0.047099999999999996,0.111025,0.07625,0.34265
2021-06-16,78704,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,48746,43005,4101,0.09536100453435647,5741,56889,32002,27228,0.7441287262242477,0.6564916815393768,23,47.18335863455464,4,8.205801501661675,3852,12990,5723,26179,75233,0.24687142857142857,0.25325000000000003,0.07225714285714287,0.30811428571428573,0.607007142857143
2021-06-16,78705,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,34549,33861,494,0.014589055255308467,688,28420,15402,13584,0.45484614021617154,0.44578871201157744,8,23.15551824944282,5,14.472198905901763,2927,5802,2312,23506,20326,0.31211249999999996,0.5069125,0.010675,0.170625,0.8367625
2021-06-16,78712,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,880,877,0,0,3,320,185,146,0.21070615034168566,0.20998864926220204,0,0,0,0,72,122,43,641,NA,0.318,0.5422500000000001,0.0063,0.1925,0.8125
2021-06-16,78717,Austin,Williamson,48491,O,"Austin-Round Rock-Georgetown, TX",Texas,30657,22417,2303,0.10273453182852299,8240,42167,23846,19583,1.0636988134534748,0.7778067714788962,3,9.785693316371466,0,0,1170,7568,3217,18701,112590,0.1390625,0.12193749999999999,0.1651125,0.37515,0.21358749999999999
2021-06-16,78719,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,1709,1431,324,0.22641509433962265,278,1494,870,672,0.6075418994413407,0.5087719298245614,1,58.51375073142188,0,0,121,717,198,670,64167,0.6205666666666666,0.6301333333333333,0.41523333333333334,0.7708333333333334,0.5379666666666667
2021-06-16,78721,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,12110,10144,1407,0.13870268138801262,1966,10408,5890,4890,0.5805815672745195,0.48633473701593594,12,99.0916597853014,3,24.772914946325347,893,4520,1076,5619,46591,0.6632333333333335,0.6641,0.3463666666666667,0.6559,0.7543333333333333
2021-06-16,78722,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,7180,6237,719,0.11527978194644861,943,9036,4946,4332,0.7928823340814364,0.688762010861997,5,69.63788300835654,0,0,552,2081,759,3786,72428,0.20475,0.20672500000000002,0.026325,0.2401,0.67035
