"ZIP","ZIP_COVERED","SVI","POV","UNEMP","PCI","NOHSDP","AGE65","AGE17","DISABL","SNGPNT","MINRTY","LIMENG","MUNIT","MOBILE","CROWD","NOVEH","GROUPQ","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
"76527",1.000000001,0.247076255307,8.5277023092,3.4720023698,31546.777353731,9.5681630274,13.9425280882,24.9338452636,10.2019492157,5.6082102799,25.8552864935,3.8331364471,0.0682811577,24.6367395285,1.6760189031,2.975664504,0.1452451268,0.2594138218986,0.3102175429985,0.3027920852763,0.3131070881029
"76530",0.999999999,0.5404340441903,19.2161585199,2.2993902411,24308.865829307,20.04237803,16.020020307,14.6435975411,14.5594512013,3.7897357671,40.166056875,5.6719512154,2.0729674805,14.9772357455,3.3254064961,4.9043699136,22.3212398271,0.4884242881327,0.2473885157092,0.464226727278,0.8139479668237
"76537",1,0.1937013152875,6.327169216,3.8902434249,27815.826067616,9.971652928,9.5076364319,23.5946996472,8.4524342349,7.8813898752,32.9246957282,2.7787396945,6.5927758166,8.5529446371,2.7412053405,0.297919118,0.0216332936,0.2867116019513,0.1460877503016,0.2791192383872,0.2421918530605
"76573",1,0.5543,19.7,2.1,24361,20.4,16,14.1,14.9,3.7,40.2,5.8,2.1,13.5,3.3,5.2,23.9,0.4869,0.2484,0.4692,0.8517
"76574",1.000000001,0.4818708147887,10.4537628076,4.6150035774,25923.701619092,18.9776137289,14.1246606456,21.8534055961,16.6629435739,9.8952488753,52.405251303,6.8228149627,3.1559299834,4.7987258904,2.6808644926,5.4516075319,2.6166468248,0.4479211125554,0.5844608006049,0.4799695050605,0.4900214101776
"76578",1,0.2884359264421,6.2246110338,6.9536067883,31449.677510008,8.1967468167,13.3200848659,21.1717114576,16.3773691643,9.2387553041,23.9396039573,0.6434229134,0.0077793495,11.2521923647,2.454738332,1.2973125882,0.2868458274,0.3510842998394,0.5250821782088,0.1067229136814,0.3236827440226
"78602",1,0.4582193681973,8.3417342922,4.6865468426,28300.778350464,12.7653007843,17.0905707177,22.1873314995,13.9165314199,6.736509959,35.6453289449,2.3977130979,4.7473341786,21.6909865319,4.462316415,5.7154583824,5.638649321,0.3645064382013,0.4872058546751,0.2760611897329,0.7253527931106
"78610",1,0.2557258047259,7.0222304925,3.2269675808,33889.048290873,8.1438710071,8.6913220354,27.5268701975,7.9709015938,9.6110493698,51.2115076185,4.108271279,10.1882117021,7.9975254858,3.954061173,1.2515522989,0.1313896204,0.216632752905,0.254361639235,0.3938991865783,0.3240806906783
"78612",1,0.5337161462554,8.7680957781,7.8285552508,26535.715741706,20.9364018752,11.2891441523,29.8447985761,12.3696974596,8.4889661867,55.2803915154,6.1693253538,0.6129105323,32.269195932,4.9189289755,2.3259504923,0.2228765572,0.5021422909254,0.5805763307049,0.5391440705345,0.5174315967864
"78613",1.000000003,0.1630289076998,5.0438233093,3.6525426831,39648.512099585,4.1274875422,8.7425519854,28.3233572183,8.1117235822,8.7980175581,34.5772351158,1.5570794228,16.4179496631,1.1827905656,2.0937565407,1.8033031531,0.2056310239,0.1514632133434,0.2658712797448,0.226495133287,0.2531631760503
