ZCTA5,1a_65+,1a_50_64,1a_16_49,1a_0_15,1b_65+,1b_50_64,1b_16_49,1b_0_15,1c_65+,1c_50_64,1c_16_49,1c_0_15,2_65+,2_50_64,2_16_49,2_0_15,1a_total,1b_total,1c_total,2_total
75001,46.74226355675069,257.6110881495512,922.2297766407717,0.0,1068.2577364432493,751.3790573978998,2369.4700863948156,0.0,0.0,1250.009854452549,398.723366389928,0.0,0.0,0.0,5921.776770574485,2005.8,1226.5831283470736,4189.106880235964,1648.733220842477,7927.576770574486
75002,201.69418354244812,1211.0250090394118,2697.54172441719,0.0,6749.305816457552,5746.92950966546,8603.209512054727,0.0,0.0,7748.045481295129,1489.6591406598427,0.0,0.0,0.0,19483.58962286824,17322.0,4110.26091699905,21099.44483817774,9237.704621954972,36805.58962286824
75006,254.04315439812487,1122.5867869606825,2338.3583947737475,0.0,5805.956845601875,4452.199571682109,7487.538386351016,0.0,0.0,4269.213641357208,917.6411458388419,0.0,0.0,0.0,13628.662073036397,11365.8,3714.9883361325547,17745.694803635,5186.85478719605,24994.462073036397
75007,122.025059026154,578.3215797119758,1194.495387786971,0.0,6576.974940973846,5727.969995657016,8766.826128608664,0.0,0.0,5858.708424631009,994.2968953468206,0.0,0.0,0.0,15999.981588257544,9680.4,1894.8420265251007,21071.771065239525,6853.0053199778295,25680.381588257544
75009,44.36633673376538,174.5799686633723,550.0564568503912,0.0,1484.6336632662346,897.1718135725607,1856.220625103264,0.0,0.0,1048.248217764067,296.51649225676437,0.0,0.0,0.0,3878.2064257895804,3859.0,769.0027622475288,4238.0261019420595,1344.7647100208314,7737.20642578958
75010,50.711712842038025,305.7284076553815,690.8376810948864,0.0,2733.288287157962,2639.164230913739,4461.067363752094,0.0,0.0,3486.1073614308793,610.6976861581777,0.0,0.0,0.0,9827.197268994842,5601.2,1047.2778015923059,9833.519881823795,4096.805047589057,15428.397268994842
75013,102.28341202519486,668.8389176810896,1709.563097680468,0.0,3422.716587974805,2761.705775665095,4887.208634051868,0.0,0.0,4691.455306653816,984.2037885076927,0.0,0.0,0.0,12872.624479759968,10528.4,2480.6854273867525,11071.63099769177,5675.659095161508,23401.024479759966
75019,158.4625616542759,1175.6143017856236,1823.2176240095487,0.0,3621.5374383457242,3532.8305167232375,4699.128162901402,0.0,0.0,5600.55518149114,787.331438138615,0.0,0.0,0.0,11693.322774950433,9796.0,3157.2944874494483,11853.496117970364,6387.886619629755,21489.322774950433
75020,147.3792631848876,512.1111253337234,991.9866031444573,0.0,4273.620736815113,2910.9470372486244,3237.5204756985586,0.0,0.0,1643.9418374176526,273.3587760210127,0.0,0.0,0.0,4575.734145135972,4665.4,1651.4769916630682,10422.088249762295,1917.3006134386653,9241.134145135971
75021,58.97170698350286,201.12515086128076,361.80314589605524,0.0,1710.0282930164972,1179.2745901208218,1254.3687764000424,0.0,0.0,609.6002590178973,95.55411871378085,0.0,0.0,0.0,1599.4739589901212,1776.8,621.9000037408389,4143.671659537362,705.1543777316782,3376.273958990121
75022,36.9590751998905,304.63499242041433,530.449613066122,0.0,1992.0409248001095,2633.415735052573,3486.236735291508,0.0,0.0,3469.949272527013,465.353842349671,0.0,0.0,0.0,7488.359809292698,6793.6,872.0436806864268,8111.693395144191,3935.303114876684,14281.959809292697
75023,218.8719934485234,877.2643425334459,1923.2835596416367,0.0,7324.128006551477,4393.482684922443,6200.189967551211,0.0,0.0,5382.252972544111,1057.382395947215,0.0,0.0,0.0,13829.744076859935,9224.4,3019.419895623606,17917.80065902513,6439.635368491326,23054.144076859935
75024,98.9465063846566,687.9438953838737,1944.2126185681432,0.0,3311.0534936153435,2578.690419781094,5060.428908451549,0.0,0.0,5087.365684835033,1154.6343280507845,0.0,0.0,0.0,15101.724144929522,8526.0,2731.1030203366736,10950.172821847988,6242.000012885817,23627.72414492952
75025,167.10643116399925,951.1314330480898,2086.653921373862,0.0,5591.893568836001,4032.2050689553507,5917.968384003428,0.0,0.0,6566.66349799656,1204.6526448302159,0.0,0.0,0.0,15755.925049792497,11489.8,3204.891785585951,15542.067021794777,7771.316142826776,27245.725049792498
75028,85.39386127998358,510.0068974229408,943.6547241732161,0.0,4602.606138720016,4518.186493656865,6454.649124659019,0.0,0.0,5699.806608920193,813.0643411554618,0.0,0.0,0.0,13083.631810012304,11093.0,1539.0554828761406,15575.4417570359,6512.870950075655,24176.631810012303
75032,77.49299363057325,440.13872223976426,1126.792981792982,0.0,3724.5070063694266,3139.2660590424375,4410.414599849094,0.0,0.0,3378.595218717798,496.1356035351551,0.0,0.0,0.0,9096.456814822768,7190.2,1644.4246976633194,11274.187665260957,3874.730822252953,16286.656814822767
75034,200.53349377801604,823.1990525517938,2336.169154009515,0.0,10808.466506221985,6710.190342112975,14656.123678114513,0.0,0.0,9782.61060533523,2090.3007392538,0.0,0.0,0.0,33636.60642862217,27480.8,3359.9017003393246,32174.78052644947,11872.91134458903,61117.40642862217
75035,141.04955059701342,917.7800711100397,3233.171841128943,0.0,4719.950449402986,3697.7273744275726,9139.820740801377,0.0,0.0,6529.492554462388,1868.66849707258,0.0,0.0,0.0,24440.738920997104,20796.6,4292.001462835996,17557.498564631936,8398.161051534968,45237.33892099711
75038,71.5177593074589,464.70349013254594,1679.2253590980333,0.0,1634.4822406925412,1403.2190017455202,4402.574458785683,0.0,0.0,2207.0775081219335,720.4462158781835,0.0,0.0,0.0,10699.953966238103,6706.8,2215.446608538038,7440.275701223745,2927.523724000117,17406.753966238102
75039,30.644479515681397,286.0064670558099,1304.3734274553817,0.0,700.3555204843186,605.2323728593078,2618.006966334446,0.0,0.0,1616.7611600848822,610.2015840985233,0.0,0.0,0.0,9062.618022111648,3273.8,1621.024374026873,3923.5948596780727,2226.9627441834054,12336.418022111648
75040,292.77844724694785,1343.0215958996303,2792.383045636137,0.0,6691.2215527530525,5586.733337254646,9352.59000416264,0.0,0.0,4847.245066845723,1069.8710005686337,0.0,0.0,0.0,15889.555949632591,14551.6,4428.183088782715,21630.544894170336,5917.116067414357,30441.155949632594
