tsa,fatality_tsa,pop_tsa,fatality_per_100k
O,2175,2241686,97.02518550769376
Q,8192,6237465,131.33540629085695
L,647,482707,134.0357608238538
E,11274,7712809,146.1724256363667
R,1985,1263163,157.1451982048239
N,580,352598,164.49327562833594
P,5576,2775583,200.8947309448141
M,731,345763,211.41649048625794
J,1009,469024,215.12758408951353
U,1295,596602,217.06263136898636
G,2242,954053,234.9974267676953
S,422,176519,239.06774908083548
K,410,170475,240.50447279659772
F,737,271962,270.9937417727477
H,732,270029,271.0819948968444
A,1197,428102,279.606262059042
C,628,218722,287.1224659613573
T,846,293061,288.67710135432554
D,941,300946,312.6806802549295
B,1590,494388,321.60974780941285
I,2740,842691,325.14883866090895
V,4474,1362508,328.3650444621243
